"中国
China","北京
上海
長春
大連
広州
瀋陽
天津
ハルピン
西安
重慶
済南
武漢
厦門
杭州
フフホト
洛陽
蘇州
青島
長沙
成都
南京
合肥
深セン
南昌
石家庄
太原
寧波
無錫
貴陽
ウルムチ
南寧
イ坊
揚州
昆明
海口
延吉
蘭州
保定
南通
西寧
福州
威海","Beijing
Shanghai
Changchun
Dalian
Guangzhou
Shenyang
Tianjin
Haerbin
Xian
Chongqing
Jinan
Wuhan
Xiamen
Hangzhou
Huhehaote
Luoyang
Suzhou
Qingdao
Changsha
Chengdu
Nanjing
Hefei
Shenzhen
Nanchang
Shijiazhuang
Taiyuan
Ningbo
Wuxi
Guiyang
Wulumuqi
Nanning
Weifang
Yangzhou
Kunming
Haikou
Yanji
Lanzhou
Baoding
Nantong
Xining
Fuzhou
Weihai","3,669
5,227
883
3,423
5,020
1,202
1,518
816
1,425
1,130
807
2,199
740
1,857
180
299
1,259
772
1,364
665
1,915
684
1,385
603
360
328
609
620
281
101
358
82
231
364
184
151
182
1,413
342
27
496
161","2,975
4,304
777
3,029
4,232
1,051
1,314
712
1,220
982
708
1,875
614
1,588
150
269
1,047
649
1,195
581
1,630
576
1,117
537
328
286
518
532
221
83
307
72
202
280
164
136
157
1,358
285
18
442
136","4,073
5,643
1,317
5,192
5,282
1,708
1,743
1,197
1,977
641
1,112
3,187
864
2,030
312
270
1,476
807
2,066
1,385
2,792
881
1,599
962
449
536
860
1,102
490
118
548
93
259
400
287
160
237
833
403
53
641
223","3,197
4,596
1,119
4,666
4,566
1,553
1,554
1,086
1,662
564
969
2,683
726
1,775
263
254
1,264
688
1,741
1,220
2,381
744
1,246
848
392
454
740
978
376
79
484
74
226
330
248
138
190
791
346
47
565
189","1,695
2,309
338
569
1,898
344
497
291
500
304
423
893
409
650
125
90
772
362
569
400
1,013
340
400
179
113
168
423
418
189
73
148
67
122
90
68
33
100
217
155
32
196
111","1,118
1,694
238
454
1,439
264
385
217
388
232
314
659
302
510
95
76
602
291
459
297
747
250
299
123
84
113
331
343
109
48
103
51
95
66
46
26
75
195
124
25
155
101","200
947
141
164
421
104
298
0
150
76
213
150
75
300
48
0
381
194
150
150
466
124
100
62
50
70
155
253
59
25
52
34
36
30
19
23
44
29
70
8
32
20","141
722
112
146
292
80
195
0
123
63
167
105
54
231
33
0
306
166
120
120
370
94
68
46
31
50
112
209
34
12
37
26
29
24
13
18
24
20
54
6
20
16","200
542
41
63
236
56
100
0
50
38
62
87
42
183
19
0
98
60
45
150
125
0
99
44
0
20
66
59
45
17
30
0
22
29
14
0
23
39
36
0
17
11","118
421
31
49
193
46
72
0
34
30
47
56
25
143
11
0
66
49
29
105
95
0
72
34
0
13
52
41
27
8
22
0
14
18
11
0
19
25
23
0
16
5","9,837
14,668
2,720
9,411
12,857
3,414
4,156
2,304
4,102
2,189
2,617
6,516
2,130
5,020
684
659
3,986
2,195
4,194
2,750
6,311
2,029
3,583
1,850
972
1,122
2,113
2,452
1,064
334
1,136
276
670
913
572
367
586
2,531
1,006
120
1,382
526","7,549
11,737
2,277
8,344
10,722
2,994
3,520
2,015
3,427
1,871
2,205
5,378
1,721
4,247
552
599
3,285
1,843
3,544
2,323
5,223
1,664
2,802
1,588
835
916
1,753
2,103
767
230
953
223
566
718
482
318
465
2,389
832
96
1,198
447",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国小計 Subtotal,"45,332","38,657","56,208","48,012","18,093","13,543","5,923","4,489","2,768","2,020","128,324","106,721",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"香港
マカオ","Hong Kong
Macau","1,286
79","1,116
66","1,320
74","1,185
70","1,125
66","966
60","1,261
40","1,078
37","1,394
27","1,217
24","6,386
286","5,562
257",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国計 Total,"46,697","39,839","57,602","49,267","19,284","14,569","7,224","5,604","4,189","3,261","134,996",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mainland total,Beijing,Shanghai,Changchun,Dalian,Guangzhou,Shenyang,Tianjin,Haerbin,Xian,Chongqing,Jinan,Wuhan,Xiamen,Hangzhou,Huhehaote,Luoyang,Suzhou,Qingdao,Changsha,Chengdu,Nanjing,Hefei,Shenzhen,Nanchang,Shijiazhuang,Taiyuan,Ningbo,Wuxi,Guiyang,Wulumuqi,Nanning,Weifang,Yangzhou,Kunming,Haikou,Yanji,Lanzhou,Baoding,Nantong,Xining,Fuzhou,Weihai
,N1R,"45,332","3,669","5,227",883,"3,423","5,020","1,202","1,518",816,"1,425","1,130",807,"2,199",740,"1,857",180,299,"1,259",772,"1,364",665,"1,915",684,"1,385",603,360,328,609,620,281,101,358,82,231,364,184,151,182,"1,413",342,27,496,161
,N1E,"38,657","2,975","4,304",777,"3,029","4,232","1,051","1,314",712,"1,220",982,708,"1,875",614,"1,588",150,269,"1,047",649,"1,195",581,"1,630",576,"1,117",537,328,286,518,532,221,83,307,72,202,280,164,136,157,"1,358",285,18,442,136
,N2R,"56,208","4,073","5,643","1,317","5,192","5,282","1,708","1,743","1,197","1,977",641,"1,112","3,187",864,"2,030",312,270,"1,476",807,"2,066","1,385","2,792",881,"1,599",962,449,536,860,"1,102",490,118,548,93,259,400,287,160,237,833,403,53,641,223
,N2E,"48,012","3,197","4,596","1,119","4,666","4,566","1,553","1,554","1,086","1,662",564,969,"2,683",726,"1,775",263,254,"1,264",688,"1,741","1,220","2,381",744,"1,246",848,392,454,740,978,376,79,484,74,226,330,248,138,190,791,346,47,565,189
,N3R,"18,093","1,695","2,309",338,569,"1,898",344,497,291,500,304,423,893,409,650,125,90,772,362,569,400,"1,013",340,400,179,113,168,423,418,189,73,148,67,122,90,68,33,100,217,155,32,196,111
,N3E,"13,543","1,118","1,694",238,454,"1,439",264,385,217,388,232,314,659,302,510,95,76,602,291,459,297,747,250,299,123,84,113,331,343,109,48,103,51,95,66,46,26,75,195,124,25,155,101
,N4R,"5,923",200,947,141,164,421,104,298,0,150,76,213,150,75,300,48,0,381,194,150,150,466,124,100,62,50,70,155,253,59,25,52,34,36,30,19,23,44,29,70,8,32,20
,N4E,"4,489",141,722,112,146,292,80,195,0,123,63,167,105,54,231,33,0,306,166,120,120,370,94,68,46,31,50,112,209,34,12,37,26,29,24,13,18,24,20,54,6,20,16
,N5R,"2,768",200,542,41,63,236,56,100,0,50,38,62,87,42,183,19,0,98,60,45,150,125,0,99,44,0,20,66,59,45,17,30,0,22,29,14,0,23,39,36,0,17,11
